abandon	(v) bỏ, từ bỏ
director	t(n) giám đốc, người điều khiển, chỉ huy
dirtt(n) đồ bẩn thỉu, đồ dơ bẩn, vật rác rưởi
disadvantaget(n) sự bất lợi, sự thiệt hại
disagree	t(v) bất đồng, không đồng ý, khác, không giống; không hợp
disagreementt(n) sự bất đồng, sự không đồng ý, sự khác nhau
disappeart(v) biến mất, biến đi
disappoint t(v) không làm thỏa ước nguyện,
disappointmentt(n) sự chán ngán, sự thất vọng
disapprove t(v) không tán thành, phản đối, chê
disaster	t(n) tai họa, thảm họa
discipline t(n) kỷ luật
discount	t(n) sự bớt giá, sự chiết khấu, tiền bớt, chiết khấu
discover	t(v) khám phá, phát hiện ra, nhận ra
discoveryt(n) sự khám phá, sự tìm ra, sự phát hiện ra
discuss t(v) thảo luận, tranh luận
discussion t(n) sự thảo luận, sự tranh luận
disease t(n) căn bệnh, bệnh tật
disgust t(v) (n) làm ghê tởm, làm kinh tởm, làm phẫn nộ
dishonestt(adj) bất lương, không thành thật
diskt(n) đĩa, đĩa hát
dislike t(v) (n) sự không ưa, không thích, sự ghét
dismiss t(v) giải tán (quân đội, đám đông); sa thải (người làm)
display t(v) (n) bày tỏ, phô trương, trưng bày; sự bày ra, phô bày,trưng bày
dissolve	t(v) tan rã, phân hủy, giải tán
distance	t(n) khoảng cách, tầm xa
distinguisht(v) phân biệt, nhận ra, nghe ra
disturb t(v) làm mất yên tĩnh, làm náo động, quấy rầy
dividet(v) chia, chia ra, phân ra
division	t(n) sự chia, sự phân chia, sự phân loại
divorce t(n) (v) sự ly dị
doctort(n) bác sĩ y khoa, tiến sĩ
document	t(n) văn kiện, tài liệu, tư liệu
dollart(n) đô la Mỹ
domestic	t(adj) vật nuôi trong nhà, (thuộc) nội trợ, quốc nội
dominate	t(v) chiếm ưu thế, có ảnh hưởng, chi phối; kiềm chế
doort(n) cửa, cửa ra vào
dott(n) chấm nhỏ, điểm; của hồi môn
doublet(adj) (adv) (n) (v) đôi, hai, kép; cái gấp đôi, lượng gấp đôi; làm gấp đôi
doubt t(n) (v) sự nghi ngờ, sự ngờ vực; nghi ngờ, ngờ vực
downt(adv) (prep) xuống
downstairs t(adv) (adj) (n) ở dưới nhà, ở tầng dưới
downward	t(adj) xuống, đi xuống
downwardst(adv) xuống, đi xuống
dozen t(n)det. tá (12)
draft t(n) (adj) (v) bản phác thảo, sơ đồ thiết kế; phác thảo, thiết kế
dragt(v) lôi kéo, kéo lê
drama t(n) kịch, tuồng
dramatic	t(adj) như kịch, như đóng kịch, thích hợp với sân khấu
drawt(v) vẽ, kéo
drawert(n) người vẽ, người kéo
dream t(n) (v) giấc mơ, mơ
dress t(n) (v) váy, quần áo, mặc (quần áo), ăn mặc
drink t(n) (v) đồ uống; uống
drive t(v) (n) lái , đua xe; cuộc đua xe (điều khiển)
drivert(n) người lái xe
dropt(v) (n) chảy nhỏ giọt, rơi, rớt; giọt (nước, máu...)
drugt(n) thuốc, dược phẩm; ma túy
drugstoret(n) hiệu thuốc, cửa hàng dược phẩm
drumt(n) cái trống, tiếng trống
drunk t(adj) say rượu
dryt(adj) (v) khô, cạn; làm khô, sấy khô
duet(adj) đến kỳ hạn (trả nợ); xứng đáng, thích đáng
dullt(adj) chậm hiểu, ngu đần
dumpt(v) (n) đổ rác; đống rác, nơi đổ rác
duringt(prep) trong lúc, trong thời gian
dustt(n) (v) bụi, rác; rắc (bụi, phấn), quét bụi, phủi bụi
dutyt(n) sự tôn kính, kính trọng; bồn phận, trách nhiệm
eachtpro(n) mỗi
each other tpro(n) nhau, lẫn nhau
eart(n) tai
early t(adj) (adv) sớm
earnt(v) kiếm (tiền), giành (phần thưởng)
earth t(n) đất, trái đất
easet(n) (v) sự thanh thản, sự thoải mái; làm thanh thản, làm yên tâm
eastt(n) (adj) (adv) hướng đông, phía đông, (thuộc) đông, ở phía đông
eastern t(adj) đông
easyt(adj) dễ dàng, dễ tính, ung dung
easilyt(adv) dễ dàng
eatt(v) ăn
economic	t(adj) (thuộc) Kinh tế
economy t(n) sự tiết kiệm, sự quản lý kinh tế
edget(n) lưỡi, cạnh sắc (dao)
edition t(n) nhà xuất bản, sự xuất bản
editort(n) người thu thập và xuất bản, chủ bút
educate t(v) giáo dục, cho ăn học; rèn luyện
educated	t(adj) được giáo dục, được đào tạo
educationt(n) sự giáo dục, sự rèn luyện (kỹ năng)
effectt(n) hiệu ứng, hiệu quả, kết quả
effectivet(adj) có kết quả, có hiệu lực
effectivelyt(adv) có kết quả, có hiệu lực
efficientt(adj) có hiệu lực, có hiệu quả
efficientlyt(adv) có hiệu quả, hiệu nghiệm
effortt(n) sự cố gắng, sự nỗ lực
eggt(n) trứng
eithert(adv) mỗi, một; cũng phải thế
elbow t(n) khuỷu tay
elderly t(adj) có tuổi, cao tuổi
elect t(v) bầu, quyết định
election	t(n) sự bầu cử, cuộc tuyển cử
electric	t(adj) (thuộc) điện, có điện, phát điện
electrical t(adj) (thuộc) điện
electricityt(n) điện, điện lực; điện lực học
electronic t(adj) (thuộc) điện tử
elegant t(adj) thanh lịch, tao nhã
element t(n) yếu tố, nguyên tố
elevator	t(n) máy nâng, thang máy
elsetkhác, nữa; nếu không
elsewheret(adv) ở một nơi nào khác
embarrasst(v) lúng túng, làm ngượng nghịu; làm rắc rối, gây khó khăn
embarrassingt(adj) làm lúng túng, ngăn trở
embarrassedt(adj) lúng túng, bối rối, ngượng; mang nợ
embarrassment t(n) sự lúng túng, sự bối rối
emerget(v) nổi lên, hiện ra; nổi bật lên
emergencyt(n) tình trạng khẩn cấp
emotion t(n) sự xúc động, sự cảm động, mối xúc cảm
emotionalt(adj) cảm động, xúc động, xúc cảm; dễ cảm động, dễ xúc cảm
emotionallyt(adv) xúc động
emphasis	t(n) sự nhấn mạnh, tầm quan trọng
emphasizet(v) nhấn mạnh, làm nổi bật
empiret(n) đế chế, đế quốc
employt(v) dùng, thuê ai làm gì
unemployed t(adj) thất nghiệp; không dùng, không sử dụng được
employee	t(n) người lao động, người làm công
employer	t(n) chủ, người sử dụng lao động
employment t(n) sự thuê mướn
employment t(n) sự thuê mướn
unemploymentt(n) sự thất nghiệp, nạn thất nghiệp
empty t(adj) (v) trống, rỗng; đổ, dốc; uống, làm cạn
enablet(v) làm cho có thể, có khả năng; cho phép ai làm gì
encountert(v) (n) chạm chán, bắt gặp; sự chạm trán, sự bắt gặp
encouraget(v) động viên, ủng hộ, giúp đỡ, làm can đảm, mạnh dạn
encouragement t(n) niềm cổ vũ, động viên, khuyến khích, sự làm can đảm
endt(n) (v) giới hạn, sự kết thúc; kết thúc, chấm dứt
in the end tcuối cùng, về sau
endingt(n) sự kết thúc, sự chấm dứt; phần cuối, kết cục
enemy t(n) kẻ thù, quân địch
energyt(n) năng lượng, nghị lực, sinh lực
engaget(v) hứa hẹn, cam kết, đính ước
engaged t(adj) đã đính ước, đã hứa hôn
enginet(n) máy, động cơ
engineer	t(n) kỹ sư
engineeringt(n) nghề kỹ sư, công việc của kỹ sư
enjoy t(v) thưởng thức, thích thú cái gì, được hưởng, có được
enjoyablet(adj) thú vị, thích thú
enjoymentt(n) sự thích thú, sự có được, được hưởng
enormous	t(adj) to lớn, khổng lồ
enoughtpro (n) (adv) đủ
enquiry t(n) sự điều tra, sự thẩm vấn
ensuret(v) bảo đảm, chắc chắn
enter t(v) đi vào, gia nhập
entertaint(v) giải trí, tiếp đón, chiêu đãi
entertainingt(adj) giải trí
entertainert(n) người quản trò, người tiếp đãi, chiêu đãi
entertainment t(n) sự giải trí, sự tiếp đãi, chiêu đãi
enthusiasm t(n) sự hăng hái, sự nhiệt tình
enthusiastict(adj) hăng hái, say mê, nhiệt tình
entiret(adj) toàn thể, toàn bộ
entirely	t(adv) toàn vẹn, trọn vẹn, toàn bộ
entitle t(v) cho tiêu đề, cho tên (sách); cho quyền làm gì
entrance	t(n) sự đi vào, sự nhậm chức
entry t(n) sự ghi vào sổ sách, sự đi vào, sự tiếp nhận (pháp lý)
envelope	t(n) phong bì
environmentt(n) môi trường, hoàn cảnh xung quanh
environmental t(adj) thuộc về môi trường
equal t(n) (v) ngang, bằng; người ngang hàng, ngang tài,sức
equally t(adv) bằng nhau, ngang bằng
equipmentt(n) trang, thiết bị
equivalent t(adj) (n) tương đương; từ, vật tương đương
error t(n) lỗi, sự sai sót, sai lầm
escapet(v) (n) trốn thoát, thoát khỏi; sự trốn thoát, lỗi thoát
especially t(adv) đặc biệt là, nhất là
essay t(n) bài tiểu luận
essentialt(adj) (n) bản chất, thực chất, cốt yếu; yếu tố cần thiết
essentiallyt(adv) về bản chất, về cơ bản
establisht(v) lập, thành lập
estatet(n) tài sản, di sản, bất động sản
estimate	t(n) (v) sự ước lượng, đánh giá; ước lượng, đánh giá
event(adv) (adj) ngay cả, ngay, lại còn; bằng phẳng, điềm đạm,ngang bằng
evening t(n) buổi chiều, tối
event t(n) sự việc, sự kiện
eventually t(adv) cuối cùng
evert(adv) từng, từ trước tới giờ
every t(det) mỗi, mọi
evidence	t(n) điều hiển nhiên, điều rõ ràng
evilt(adj) (n) xấu, ác; điều xấu, điều ác, điều tai hại
exact t(adj) chính xác, đúng
exactly t(adv) chính xác, đúng đắn
exaggerate t(v) cường điệu, phóng đại
exaggeratedt(adj) cường điệu, phòng đại
examt(n) viết tắt của Examination
examinationt(n) sự thi cử, kỳ thi
examine t(v) thẩm tra, khám xét, hỏi han (thí sinh)
example t(n) thí dụ, ví dụ
excellentt(adj) xuất sắc, xuất chúng
exceptt(prep) (conj) trừ ra, không kể; trừ phi
exceptiont(n) sự trừ ra, sự loại ra
exchange	t(v) (n) trao đổi; sự trao đổi
in exchange for ttrong việc trao đổi về
excitet(v) kích thích, kích động
exciting	t(adj) hứng thú, thú vị
excited t(adj) bị kích thích, bị kích động
excitement t(n) sự kích thích, sự kích động
exclude t(v) ngăn chạn, loại trừ
excludingt(prep) ngoài ra, trừ ra
excuset(n) (v) lời xin lỗi, bào chữa; xin lỗi, tha thứ, tha lỗi
executivet(n) (adj) sự thi hành, chấp hành; (thuộc) sự thi hành,chấp hành
exercise	t(n) (v) bài tập, sự thi hành, sự thực hiện; làm, thi hành, thực hiện
exhibit t(v) (n) trưng bày, triển lãm; vật trưng bày, vật triển lãm
exhibition t(n) cuộc triển lãm, trưng bày
exist t(v) tồn tại, sống
existencet(n) sự tồn tại, sự sống
exitt(n) lỗi ra, sự đi ra, thoát ra
expandt(v) mở rộng, phát triển, nở, giãn ra
expectt(v) chờ đợi, mong ngóng; liệu trước
expected	t(adj) được chờ đợi, được hy vọng
unexpected t(adj) bất ngờ, đột ngột, gây ngạc nhiên
unexpectedlyt(adv) bất ngờ, đột ngột, gây ngạc nhiên
expectationt(n) sự mong chờ, sự chờ đợi
expense t(n) chi phí
expensivet(adj) đắt
experience t(n) (v) kinh nghiệm; trải qua, nếm mùi
experiencedt(adj) có kinh nghiệm, từng trải, giàu kinh nghiệm
experiment t(n) (v) cuộc thí nghiệm, thí nghiệm
expertt(n) (adj) chuyên gia; chuyên môn, thành thạo
explain t(v) giải nghĩa, giải thích
explanationt(n) sự giải nghĩa, giải thích
explode t(v) đập tan (hy vọng...), làm nổ, nổ
explore t(v) thăm dò, thám hiểm
explosiont(n) sự nổ, sự phát triển ồ ạt
exportt(v) (n) xuất khẩu; hàng xuất khẩu, sự xuất khẩu
exposet(v) trưng bày, phơi bày
express t(v) (adj) diễn tả, biểu lộ, bày tỏ; nhanh, tốc hành
expression t(n) sự diễn tả, sự bày tỏ, biểu lộ, sự diễn đạt
extendt(v) giơ, duỗi ra (tay, chân); kéo dài (thời gian),dành cho, gửi lời
extensiont(n) sự giơ, duỗi; sự kéo dài, sự dành cho, gửi lời
extensivet(adj) rộng rãi, bao quát
extentt(n) (v) quy mô, phạm vi
extra t(adj) (n) (adv) thêm, phụ, ngoại; thứ thêm, phụ
extraordinary t(adj) đặc biệt, lạ thường, khác thường
extreme t(adj) (n) vô cùng, khắc nghiệt, quá khích, cực đoan; sự quá khích
extremelyt(adv) vô cùng, cực độ
facet(n) (v) mặt, thể diện; đương đầu, đối phó, đối mặt
facility	t(n) điều kiện dễ dàng, sự dễ dàng, thuận lợi
factt(n) việc, sự việc, sự kiện
factort(n) nhân tố
factory t(n) nhà máy, xí nghiệp, xưởng
failt(v) sai, thất bại
failure t(n) sự thất bại, người thất bại
faint t(adj) nhút nhát, yếu ớt
faintly t(adv) nhút nhát, yếu ớt
fairt(adj) hợp lý, công bằng; thuận lợi
fairlyt(adv) hợp lý, công bằng
unfairt(adj) gian lận, không công bằng; bất lợi
unfairly	t(adv) gian lận, không công bằng; bất lợi
faith t(n) sự tin tưởng, tin cậy; niềm tin, vật đảm bảo
faithful	t(adj) trung thành, chung thủy, trung thực
faithfully t(adv) trung thành, chung thủy, trung thực
yours faithfully	tbạn chân thành
fallt(v) (n) rơi, ngã, sự rơi, ngã
fall overtngã lộn nhào, bị đổ
false t(adj) sai, nhầm, giả dối
famet(n) tên tuổi, danh tiếng
familiar	t(adj) thân thiết, quen thuộc
familyt(n) (adj) gia đình, thuộc gia đình
famoust(adj) nổi tiếng
fancy t(v) (adj) tưởng tượng, cho, nghĩ rằng; tưởng tượng
fart(adv) (adj) xa
further t(adj) xa hơn nữa; thêm nữa
farmt(n) trang trại
farming t(n) công việc trồng trọt, đồng áng
farmert(n) nông dân, người chủ trại
fashion t(n) mốt, thời trang
fashionablet(adj) đúng mốt, hợp thời trang
fastt(adj) (adv) nhanh
fastent(v) buộc, trói
fatt(adj) (n) béo, béo bở; mỡ, chất béo
faucett(n) vòi (ở thùng rượu....)
fault t(n) sự thiết sót, sai sót
favourt(n) thiện ý, sự quý mến; sự đồng ý; sự chiếu cố
in favour oftủng hộ cái gì
favouritet(adj) (n) được ưa thích; người (vật) được ưa thích
feart(n) (v) sự sợ hãi, e sợ; sợ, lo ngại
feather t(n) lông chim
feature t(n) (v) nét đặt biệt, điểm đặc trưng; mô tả nét đặc biệt,đặc trưng của...
February	ttháng 2
federal t(adj) liên bang
feet(n) tiền thù lao, học phí
feedt(v) cho ăn, nuôi
feelt(v) cảm thấy
feeling t(n) sự cảm thấy, cảm giác
fellowt(n) anh chàng (đang yêu), đồng chí
femalet(adj) (n) thuộc giống cái; giống cái
fence t(n) hàng rào
festival	t(n) lễ hội, đại hội liên hoan
fetch t(v) tìm về, đem về; làm bực mình; làm say mê, quyến rũ
fever t(n) cơn sốt, bệnh sốt
fewt(adj) pro(n) ít,vài; một ít, một vài
a few tmột ít, một vài
field t(n) cánh đồng, bãi chiến trường
fight t(v) (n) đấu tranh, chiến đấu; sự đấu tranh, cuộc chiến đấu
fighting	t(n) sự chiến đấu, sự đấu tranh
figuret(n) (v) hình dáng, nhân vật; hình dung, miêu tả
filet(n) hồ sơ, tài liệu
fillt(v) làm đấy, lấp kín
filmt(n) (v) phim, được dựng thành phim
final t(adj) (n) cuối cùng, cuộc đấu chung kết
finally t(adv) cuối cùng, sau cùng
finance t(n) (v) tài chính; tài trợ, cấp vốn
financialt(adj) thuộc (tài chính)
findt(v) tìm, tìm thấy
find out sthtkhám phá, tìm ra
finet(adj) tốt, giỏi
finelyt(adv) đẹp đẽ, tế nhị, cao thượng
fingert(n) ngón tay
finisht(v) (n) kết thúc, hoàn thành; sự kết thúc, phần cuối
finished	t(adj) hoàn tất, hoàn thành
firet(n) (v) lửa; đốt cháy
set fire totđốt cháy cái gì
firmt(n) (adj) (adv) hãng, công ty; chắc, kiên quyết, vững vàng
firmlyt(adv) vững chắc, kiên quyết
first t(adv) (n) thứ nhất, đầu tiên, trước hết; người, vật đầu tiên, thứ nhất
at first	ttrực tiếp
fisht(n) (v) cá, món cá; câu cá, bắt cá
fishing t(n) sự câu cá, sự đánh cá
fitt(v) (adj) hợp, vừa; thích hợp, xứng đáng
fixt(v) đóng, gắn, lắp; sửa chữa, sửa sang
fixed t(adj) đứng yên, bất động
flagt(n) quốc kỳ
flame t(n) ngọn lửa
flash t(v) (n) loé sáng, vụt sáng; ánh sáng lóe lên, đèn nháy
flatt(adj) (n) bằng phẳng, bẹt, nhẵn; dãy phòng, căn phòng, mặt phẳng
flavour t(n) (v) vị, mùi; cho gia vị, làm tăng thêm mùi vị
flesh t(n) thịt
flightt(n) sự bỏ chạy, rút chạy; sự bay, chuyến bay
float t(v) nổi, trôi, lơ lửng
flood t(n) (v) lụt, lũ lụt; tràn đầy, tràn ngập
floor t(n) sàn, tầng (nhà)
flour t(n) bột, bột mỳ
flowt(n) (v) sự chảy; chảy
flut(n) bệnh cúm
flyt(v) (n) bay; sự bay, quãng đường bay
flyingt(adj) (n) biết bay; sự bay, chuyến bay
focus t(v) (n) tập trung; trung tâm, trọng tâm
foldt(v) (n) gấp, vén, xắn; nếp gấp
folding t(adj) gấp lại được
followt(v) đi theo sau, theo, tiếp theo
followingt(adj) (n)prep.tiếp theo, theo sau, sau đây; sau, tiếp theo
foott(n) chân, bàn chân
football	t(n) bóng đá
fort(prep) cho, dành cho...
force t(n) (v) sức mạnh; ép buộc, cưỡng ép
forecast	t(n) (v) sự dự đoán, dự báo; dự đoán, dự báo
foreign t(adj) (thuộc) nước ngoài, từ nước ngoài, ở nước ngoài
forestt(n) rừng
forever t(adv) mãi mãi
forgett(v) quên
forgive t(v) tha, tha thứ
forkt(n) cái nĩa
formt(n) (v) hình thể, hình dạng, hình thức; làm thành, được tạo thành
formalt(adj) trang trọng,theo nghi thức
formalizet(v) nghi thức hóa,trang trọng hóa
formert(adj) trước, cũ, xưa, nguyên
formerly	t(adv) trước đây, thuở xưa
formula t(n) công thức, thể thức, cách thức
fortune t(n) sự giàu có, sự thịnh vượng
forward t(adj) (adv) về tương lai, sau này ở phía trước,tiến về phía trước
foundation t(n) sự thành lập, sự sáng lập; tổ chức
frame t(n) (v) cấu trúc, hệ thống; dàn xếp, bố trí
freet(adj) (v) (adv) miễn phí, tự do, giải phóng, trả tự do
freelyt(adv) tự do, thoải mái
freedom t(n) sự tự do; nền tự do
freezet(v) đóng băng, đông lạnh
frozent(adj) lạnh giá
frequent	t(adj) thường xuyên
frequently t(adv) thường xuyên
fresh t(adj) tươi, tươi tắn
freshly t(adv) tươi mát, khỏe khoắn
fridget(n) tủ lạnh
make friends withtkết bạn với
friendly	t(adj) thân thiện, thân mật
unfriendly t(adj) không thân thiện, không có thiện cảm
friendship t(n) tình bạn, tình hữu nghị
frighten	t(v) làm sợ, làm hoảng sợ
frighteningt(adj) kinh khủng, khủng khiếp
frightened t(adj) hoảng sợ, khiếp sợ
front t(n) (adj) mặt; đằng trước, về phía trước
in front oftở phía trước
freezet(n) (v) sự đông lạnh, sự giá lạnh; làm đông, làm đóng băng
fruit t(n) quả, trái cây
fryt(v) (n) rán, chiên; thịt rán
fuelt(n) chất đốt, nhiên liệu
fullt(adj) đầy, đầy đủ
fully t(adv) đầy đủ, hoàn toàn
funt(n) (adj) sự vui đùa, sự vui thích; hài hước
make fun oftđùa cợt, chế giễu, chế nhạo
function	t(n) (v) chức năng; họat động, chạy (máy)
fundt(n) (v) kho, quỹ; tài trợ, tiền bạc, để tiền vào công quỹ
fundamentalt(adj) cơ bản, cơ sở, chủ yếu
funeral t(n) lễ tang, đám tang
funny t(adj) buồn cười, khôi hài
furt(n) bộ da lông thú
furnituret(n) đồ đạc (trong nhà)
further t(adj) xa hơn nữa, thêm nữa, bên kia
furthest	t(adj) (adv) xa hơn hết, xa nhất
futuret(n) (adj) tương lai
gaint(v) (n) lợi, lợi ích; giành được, kiếm được, đạt tới
gallont(n) Galông 1gl = 4, 54 lít ở Anh, 3, 78 lít ở Mỹ
gamblet(v) (n) đánh bạc; cuộc đánh bạc
gambling	t(n) trò cờ bạc
gapt(n) đèo, lỗ hổng, kẽ hở; chỗ trống
garaget(n) nhà để ô tô
garbage t(n) lòng, ruột (thú)
gardent(n) vườn
gast(n) khí, hơi đốt
gasoline	t(n) dầu lửa, dầu hỏa, xăng
gatet(n) cổng
gathert(v) tập hợp; hái, lượm, thu thập
geart(n) cơ cấu, thiết bị, dụng cụ
general t(adj) chung, chung chung; tổng
generallyt(adv) nói chung, đại thể
in general tnói chung, đại khái
generate	t(v) sinh, đẻ ra
generation t(n) sự sinh ra, sự phát sinh ra; thế hệ, đời
generous	t(adj) rộng lượng, khoan hồng, hào phóng
generously t(adv) rộng lượng, hào phóng
gentlet(adj) hiền lành, dịu dàng, nhẹ nhàng
gentlyt(adv) nhẹ nhàng, êm ái, dịu dàng
gentlemant(n) người quý phái, người thượng lưu
genuine t(adj) thành thật, chân thật; xác thực
genuinelyt(adv) thành thật, chân thật
geographyt(n) địa lý, khoa địa lý
gett(v) được, có được
get ontleo, trèo lên (xe buýt, xe lửa,..)
get off tra khỏi, thoát khỏi, xuống ( xe buýt,xe lửa,...)
giant t(n) (adj) người khổng lồ, người phi thường; khổng lồ, phi thường
giftt(n) quà tặng
givet(v) cho, biếu, tặng
give sth away tcho, phát
give sth outtchia, phân phối
give sth uptbỏ, từ bỏ
gladt(adj) vui lòng, sung sướng
glass t(n) kính, thủy tinh, cái cốc, ly
glasses t(n) kính đeo mắt
globalt(adj) v toàn cầu, toàn thể, toàn bộ
glove t(n) bao tay, găng tay
gluet(n) (v) keo, hồ; gắn lại, dán bằng keo, hồ
gramt(n) đậu xanh
go down tđi xuống
go up tđi lên
be going totsắp sửa, có ý định
goalt(n) khung thành, bàn thắng, đích, mục đích
goldt(n) (adj) vàng; bằng vàng
goodt(adj) (n) tốt, hay, tuyệt; điều tốt, điều thiện
good at ttiến bộ ở
good for	tcó lợi cho
goods t(n) của cải, tài sản, hàng hóa
governt(v) cai trị, thống trị, cầm quyền
government t(n) chính phủ, nội các; sự cai trị
governor	t(n) thủ lĩnh, chủ; kẻ thống trị
grabt(v) túm lấy, vồ, chộp lấy
grade t(n) (v) điểm, điểm số; phân loại, xếp loại
gradual t(adj) dần dần, từng bước một
graduallyt(adv) dần dần, từ từ
grain t(n) thóc lúa, hạt, hột; tính chất, bản chất
grammar t(n) ngữ pháp, văn phạm
grand t(adj) rộng lớn, vĩ đại
grandchild t(n) cháu (của ông bà)
granddaughter t(n) cháu gái
grant t(v) (n) cho, ban, cấp; sự cho, sự ban, sự cấp
grandson	t(n) cháu trai
grass t(n) cỏ; bãi cỏ, đồng cỏ
grateful	t(adj) biết ơn, dễ chịu, khoan khoái
grave t(n) (adj) mộ, dấu huyền; trang nghiêm, nghiêm trọng
grayt(adj) xám, hoa râm (tóc)
greyt(adj) xám, hoa râm (tóc),xám xịt
great t(adj) to, lớn, vĩ đại
greatly t(adv) rất, lắm; cao thượng, cao cả
grocery t(n) cửa hàng tạp phẩm
groundt(n) mặt đất, đất, bãi đất
group t(n) nhóm
growt(v) mọc, mọc lên
grow up tlớn lên, trưởng thành
growtht(n) sự lớn lên, sự phát triển
guaranteet(n) (v) sự bảo hành, bảo lãnh, người bảo lãnh; cam đoan, đảm bảo
guard t(n) (v) cái chắn, người bảo vệ; bảo vệ, gác, canh giữ
guess t(v) (n) đoán, phỏng đoán; sự đoán, sự ước chừng
guest t(n) khách, khách mời
guide t(n) (v) điều chỉ dẫn, người hướng dẫn; dẫn đường, chỉ đường
guiltyt(adj) có tội, phạm tội, tội lỗi
gunt(n) súng
guyt(n) bù nhìn, anh chàng, gã
habit t(n) thói quen, tập quán
hairdressert(n) thợ làm tóc
halftpro(n) (adv) một nửa, phần chia đôi, nửa giờ; nửa
hallt(n) đại sảnh, tòa (thị chính), hội trường
hammert(n) búa
handt(n) (v) tay, bàn tay; trao tay, truyền cho
handlet(v) (n) cầm, sờ mó; tay cầm, móc quai
hangt(v) treo, mắc
happent(v) xảy ra, xảy đến
happinesst(n) sự sung sướng, hạnh phúc
unhappinesst(n) nỗi buồn, sự bất hạnh
happily t(adv) sung sướng, hạnh phúc
unhappy t(adj) buồn rầu, khốn khổ
hardt(adj) (adv) cứng, rắn, hà khắc; hết sức cố gắng, tích cực
hardlyt(adv) khắc nghiệt, nghiêm khắc, tàn tệ, khó khăn
harmt(n) (v) thiệt hại, tổn hao; làm hại, gây thiệt hại
harmful t(adj) gây tai hại, có hại
harmless	t(adj) không có hại
hatet(v) (n) ghét; lòng căm ghét, thù hận
hatredt(n) lòng căm thì, sự căm ghét
headt(n) (v) cái đầu (người, thú); chỉ huy, lãnh đại, dẫn đầu
headache	t(n) chứng nhức đầu
healt(v) chữa khỏi, làm lành
healtht(n) sức khỏe, thể chất, sự lành mạnh
healthy t(adj) khỏe mạnh, lành mạnh
heart(v) nghe
hearing t(n) sự nghe, thính giác
heart t(n) tim, trái tim
heatt(n) (v) hơi nóng, sức nóng
heating t(n) sự đốt nóng, sự làm nóng
heavent(n) thiên đường
heavy t(adj) nặng, nặng nề
heavily t(adv) nặng, nặng nề
heelt(n) gót chân
heightt(n) chiều cao, độ cao; đỉnh, điểm cao
helpful t(adj) có ích; giúp đỡ
hence t(adv) sau đây, kể từ đây; do đó, vì thế
hesitate	t(v) ngập ngừng, do dự
hidet(v) trốn, ẩn nấp; che giấu
hight(adj) (adv) cao, ở mức độ cao
highlyt(adv) tốt, cao; hết sức, ở mức độ cao
highlightt(v) (n) làm nổi bật, nêu bật; chỗ nổi bật nhất, đẹp, sáng nhất
highway t(n) đường quốc lộ
hillt(n) đồi
hipt(n) hông
hiret(v) (n) thuê, cho thuê (nhà...); sự thuê, sự cho thuê
history t(n) lịch sử, sử học
historical t(adj) lịch sử, thuộc lịch sử
hitt(v) (n) đánh, đấm, ném trúng; đòn, cú đấm
hobby t(n) sở thích riêng
holdt(v) (n) cầm, nắm, giữ; sự cầm, sự nắm giữ
holet(n) lỗ, lỗ trống; hang
hollowt(adj) rỗng, trống rỗng
holyt(adj) linh thiêng; sùng đạo
honestt(adj) lương thiện, trung thực, chân thật
honestly	t(adj) lương thiện, trung thực, chân thật
honourt(n) danh dự, thanh danh, lòng kính trọng
in honour oftđể tỏ lòng tôn kính, trân trọng đối với
hookt(n) cái móc; bản lề; lưỡi câu
horizontal t(adj) (thuộc) chân trời, ở chân trời; ngang, nằm ngang (trục hoành)
hornt(n) sừng (trâu, bò...)
horrort(n) điều kinh khủng, sự ghê rợn
horse t(n) ngựa
hospital	t(n) bệnh viện, nhà thương
hostt(n) (v) chủ nhà, chủ tiệc; dẫn (c.trình), đăng cai tổ chức (hội nghị)
housing t(n) nơi ăn chốn ở
householdt(n) (adj) hộ, gia đình; (thuộc) gia đình
huget(adj) to lớn, khổng lồ
human t(adj) (n) (thuộc) con người, loài người
humorous	t(adj) hài hước, hóm hỉnh
humourt(n) sự hài hước, sự hóm hỉnh
hungryt(adj) đói
huntt(v) săn, đi săn
hunting t(n) sự đi săn
hurry t(v) (n) sự vội vàng, sự gấp rút
in a hurry tvội vàng, hối hả, gấp rút
'hʌri t(v) làm bị thương, gây thiệt hại
husband t(n) người chồng
icet(n) băng, nước đá
ideat(n) ý tưởng, quan niệm
ideal t(adj) (n) (thuộc) quan niệm, tư tưởng; lý tưởng
ideally t(adv) lý tưởng, đúng như lý tưởng
identify	t(v) nhận biết, nhận ra, nhận dạng
identity	t(n) cá tính, nét nhận dạng; tính đồng nhất, giống hệt
ignoret(v) phớt lờ, tỏ ra không biết đến
illt(adj) ốm
illegal t(adj) trái luật, bất hợp pháp
illegallyt(adv) trái luật, bất hợp pháp
illness t(n) sự đau yếu, ốm, bệnh tật
illustrate t(v) minh họa, làm rõ ý
image t(n) ảnh, hình ảnh
imaginaryt(adj) tưởng tượng, ảo
imaginationt(n) trí tưởng tượng, sự tưởng tượng
imagine t(v) tưởng tượng, hình dung; tưởng rằng, cho rằng
immediatet(adj) lập tức, tức thì
immediatelyt(adv) ngay lập tức
immoral t(adj) trái đạo đức, luân lý; xấu xa
